"#","Song","Spotify total","Spotify daily"
"1","IDGAF (feat. Yeat)","549,400,820","243,629"
"2","Monëy so big","459,801,217","126,981"
"3","Out thë way","443,850,695","137,354"
"4","If We Being Rëal","340,756,777","280,236"
"5","Flawlëss (feat. Lil Uzi Vert)","302,346,741","100,414"
"6","Talk","300,594,526","88,777"
"7","Sorry Bout That","252,914,148","77,616"
"8","Breathe","234,108,309","119,467"
"9","On tha linë","209,385,999","62,078"
"10","Gët Busy","191,349,668","89,599"
"11","Already Rich","181,753,291","58,865"
"12","Poppin","181,457,624","47,451"
"13","Nun id change","157,778,074","86,601"
"14","Turban","156,706,817","34,816"
"15","My wrist","111,473,734","41,471"
"16","Rackz got më (feat. Gunna)","109,812,321","24,708"
"17","Mad bout that","104,837,665","31,245"
"18","Dëserve it","98,455,432","18,162"
"19","Swërved It","97,048,988","31,013"
"20","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","91,195,745","19,229"
"21","Off Tha Lot","89,217,410","23,367"
"22","Money Twërk","86,881,162","34,824"
"23","U could tëll","85,982,224","26,487"
"24","Split","71,596,495","18,830"
"25","Big tonka (feat. Lil Uzi Vert)","68,477,836","19,937"
"26","Systëm","67,100,398","27,190"
"27","Jus bëtter","66,842,390","18,342"
"28","bigger thën everything","63,213,304","22,725"
"29","No morë talk","59,614,735","25,493"
"30","ILUV","58,378,380","59,888"
"31","Doublë","58,273,574","18,028"
"32","Tell më","57,838,498","46,985"
"33","Ya Ya","56,561,003","16,097"
"34","Yam","55,799,196","17,196"
"35","How it go","51,463,064","17,258"
"36","Dub","47,516,154","13,747"
"37","Rich Minion","47,057,187","5,495"
"38","Still countin","47,047,067","14,704"
"39","Rokstar","46,175,715","14,554"
"40","Twizzy Rich","45,835,427","29,285"
"41","U Should Know","45,095,699","33,461"
"42","Bëttr 0ff","43,578,285","25,509"
"43","Krank","41,697,767","55,527"
"44","Psycho CEO","41,287,721","25,126"
"45","Cmon","40,494,972","10,363"
"46","Got rich","38,657,233","12,574"
"47","Trëndy way (feat. SeptembersRich)","38,560,185","14,594"
"48","Lying 4 fun","38,223,830","14,203"
"49","Fukit","37,505,013","12,388"
"50","Mysëlf","36,192,841","31,512"
"51","Hatër","33,978,237","10,019"
"52","Wat it feel lykë","33,339,092","11,551"
"53","Heavy stunts","33,035,957","24,246"
"54","Stand On It (with Future)","32,944,370","14,717"
"55","Tonka 2","32,183,546","6,735"
"56","Shmunk (feat. YoungBoy Never Broke Again)","30,995,859","6,913"
"57","Nvr again","30,281,725","12,444"
"58","Rollin","30,237,843","10,980"
"59","Fuk Tha Clout (feat. Yeat)","30,167,935","9,979"
"60","5 2 Üh 60 (feat. Yeat)","29,816,606","8,799"
"61","Kant rëlax","29,023,773","8,585"
"62","Up off X","27,931,385","11,391"
"63","GEEKED UP (FEAT. YEAT)","27,709,012","28,568"
"64","Outsidë (feat. Young Thug)","27,093,055","9,759"
"65","Diëd B4","26,897,774","10,250"
"66","GEEK TIMË","26,860,439","32,162"
"67","Morë","24,919,846","14,555"
"68","Rëal six","24,788,223","9,194"
"69","Kant changë","24,596,590","11,285"
"70","ORCHESTRATË","24,185,237","45,002"
"71","Taliban","23,052,062","9,335"
"72","Can’t stop it","22,784,287","9,943"
"73","Luh gëek","22,769,593","11,535"
"74","3G (feat. Lil Uzi Vert)","22,608,261","6,879"
"75","Shhhh","22,202,670","10,539"
"76","Gëek high (feat. Ken Carson)","21,700,721","7,917"
"77","Nothing Changë","21,253,847","12,520"
"78","GO AGAIN (feat. Superheaven)","21,185,666","30,572"
"79","Lyfestylë (with Lil Wayne)","20,919,967","10,673"
"80","The Bell","20,841,876","50,602"
"81","As We Speak (feat. Drake)","20,641,277","15,387"
"82","Pop Out","19,517,503","3,875"
"83","WAR 1","19,377,199","5,676"
"84","Power Trip","19,128,474","10,263"
"85","Morning mudd","19,103,469","8,363"
"86","Tëslas & Rovers","18,615,193","7,513"
"87","Type monëy","18,568,224","9,924"
"88","GONE 4 A MIN","18,089,250","28,075"
"89","Slamm","17,907,821","5,981"
"90","Familia","17,789,497","69,965"
"91","Bäk 2 BED","17,651,689","7,079"
"92","No Handoutz (feat. Yeat)","17,568,054","7,459"
"93","Hëavyweight","17,152,314","28,324"
"94","Woa...!","17,095,141","6,435"
"95","Kant dië","16,797,757","9,982"
"96","King tonka","16,645,435","7,522"
"97","Stayëd tha same","16,563,415","7,114"
"98","Already Rich","16,343,811","869"
"99","Sum 2 do","15,842,970","5,566"
"100","Luv monëy (with Lancey Foux)","15,776,810","6,518"
"101","Smooktobër","15,757,462","8,765"
"102","BË QUIET (FEAT. KODAK BLACK)","15,756,539","23,735"
"103","Rav3 p4rty (feat. Kranky Kranky)","15,516,644","4,987"
"104","Bought The Earth","15,200,068","9,247"
"105","Jump","14,713,015","5,689"
"106","Told ya","14,699,916","7,229"
"107","Got it all","14,496,444","5,851"
"108","Bad bënd / DëMON","14,472,360","5,134"
"109","Narcoticz (feat. Yung Kayo)","14,415,815","5,665"
"110","Goin Back 2 Ella","14,177,679","4,576"
"111","STFU","13,996,944","13,072"
"112","Lët ya know","13,944,483","6,063"
"113","Comë on","13,805,064","6,194"
"114","Back up","13,688,328","5,168"
"115","Run Thëy Mouth","13,365,711","8,798"
"116","7 nightz","13,289,737","4,861"
"117","Back homë","13,136,240","11,556"
"118","Never quit","13,087,678","9,033"
"119","Dnt lië","12,985,899","5,304"
"120","Nëw turban","12,863,565","3,878"
"121","Factz","12,805,260","9,482"
"122","Tonka","12,486,061","3,997"
"123","Bak on ëm","12,320,460","4,838"
"124","FOREVER AGAIN","12,298,860","16,057"
"125","Killin ëm","12,261,182","5,517"
"126","IM YEAT","12,210,268","189,129"
"127","Talk 2 God","11,929,809","4,639"
"128","Probably!","11,475,886","3,831"
"129","Watch","11,155,035","3,939"
"130","1093","11,148,541","7,417"
"131","Mountain Climbërs","11,137,330","4,469"
"132","Holy 1","11,077,695","4,864"
"133","Mëan feen (feat. Kranky Kranky)","10,984,845","4,093"
"134","X ta C","10,933,531","3,916"
"135","Shade","10,895,465","6,108"
"136","Call më","10,882,397","4,170"
"137","2093","10,755,490","5,571"
"138","Luh m (feat. SeptembersRich)","10,752,626","3,590"
"139","HEARD OF MË","10,731,594","22,822"
"140","Team ceo","10,456,210","6,209"
"141","Mr. Inbetweenit","10,406,045","5,838"
"142","Now (feat. Luh geeky)","10,388,068","3,548"
"143","5BRAZY (FEAT. QUAVO)","10,236,359","10,249"
"144","Big Stonëz","10,176,270","5,648"
"145","Forëally / 4Ly","10,128,376","3,953"
"146","Dëmon tied","9,964,366","3,921"
"147","Hëy","9,957,706","4,619"
"148","Cruisin' (feat. Yeat)","9,926,586","5,120"
"149","Psychocainë","9,917,985","6,117"
"150","Cali","9,753,860","0"
"151","Oh eX whY","9,735,435","3,232"
"152","Callin më","9,633,022","4,758"
"153","Riot & Set it off","9,597,832","5,388"
"154","Keep Pushin","9,524,548","5,219"
"155","CAN'T B ME (feat. Yeat)","9,485,150","2,308"
"156","THEY TELL MË","9,459,530","9,207"
"157","I Don’t Text Back (feat. Yeat)","9,420,561","3,601"
"158","COMË N GO","9,045,639","539,041"
"159","Not Da Same (feat. Yeat)","8,376,694","3,369"
"160","NEW HIGH (FEAT. DON TOLIVER)","8,271,396","9,878"
"161","GO2WORK (FEAT. SUMMRS)","8,232,314","9,506"
"162","FLYTROOP","7,844,428","10,590"
"163","Way back","7,823,360","5,595"
"164","No commënt","7,449,116","2,902"
"165","Insidë out (feat. SeptembersRich)","7,379,697","2,043"
"166","SPEEDBALL","7,346,933","7,463"
"167","LYFESTYLE (FEAT. LIL DURK)","7,300,261","7,477"
"168","PUT IT ONG","7,100,236","219,377"
"169","YEET (feat. Yeat)","6,975,429","1,800"
"170","THE COSTËS","6,940,500","7,552"
"171","U DONT KNOW LYFE","6,740,691","8,083"
"172","FATË (BONUS)","6,650,208","9,974"
"173","ON 1","6,564,799","7,985"
"174","Appear","6,542,727","1,716"
"175","WTF","6,301,561","3,345"
"176","SO WHAT","6,095,796","7,234"
"177","2TONE","6,092,852","280,600"
"178","Work (feat. Yeat)","5,904,532","9,302"
"179","Met Tha Devil (feat. Yeat)","5,718,109","2,648"
"180","LYFE PARTY","5,562,734","10,018"
"181","LOCO","5,513,622","182,791"
"182","GOD TALKIN SHHH","5,477,175","6,655"
"183","ELIMINATË","5,345,560","6,274"
"184","Chanëlly","5,156,924","2,477"
"185","zaza","5,060,114","832"
"186","LYING 5 FUN","4,972,839","5,577"
"187","Cap to Me","4,868,805","4,497"
"188","Hello (feat. Yeat)","4,769,332","2,906"
"189","Sleeptalking","4,664,936","3,122"
"190","Sidëwayz","4,642,228","2,101"
"191","Livë Hi","4,541,448","2,211"
"192","Balënci Feet","4,534,541","2,483"
"193","Swërved It","4,526,390","2,329"
"194","Jus Wokëup","4,397,336","2,033"
"195","hollon","4,329,124","1,459"
"196","Feël no wayz (Yeat mix)","4,265,237","10,536"
"197","All I See","4,175,874","2,053"
"198","Trëndy","4,129,069","2,348"
"199","Ok Kool","4,100,690","1,883"
"200","Provë sum (feat. SeptembersRich)","4,032,681","2,001"
"201","Orion's Belt","3,910,289","2,724"
"202","OH I DID","3,865,015","113,610"
"203","Xtra Krazy (feat. Yeat)","3,762,149","2,486"
"204","Trië 2 Tell U outro","3,611,043","1,938"
"205","[ADL IS COMING]","3,538,442","110,592"
"206","Always Alivë","3,532,536","1,974"
"207","Tru to U","3,377,720","2,154"
"208","Bëd Side","3,359,690","1,945"
"209","GROWING PAINS","3,325,177","109,893"
"210","Supër Test","3,309,560","1,826"
"211","LOOSE LEAF","3,235,108","82,852"
"212","M.F.U.","3,232,850","92,465"
"213","Wavëy Krazy","3,214,748","1,816"
"214","FLY NITË","3,160,629","93,230"
"215","TRIP OUT","2,836,381","29,214"
"216","Twizzy","2,535,682","1,223"
"217","Bizzy","2,422,139","1,152"
"218","Feel it","2,387,862","1,277"
"219","Liftëd","2,297,176","1,229"
"220","Every Sunday","2,114,562","1,161"
"221","Can't Think","2,112,987","727"
"222","Duh (feat. Yeat)","1,967,624","840"
"223","Flashey","1,960,757","733"
"224","Swërve","1,921,748","1,005"
"225","2 Up","1,826,223","943"
"226","Last Day","1,762,663","1,033"
"227","Tesla (feat. Yeat)","1,742,782","1,380"
"228","Cöming Down","1,594,907","1,025"
"229","Stay Up","1,333,964","426"
"230","Been Off (feat. Yeat)","1,217,537","1,257"
"231","Back Den (feat. Yeat)","1,166,903","819"
"232","Shipped","1,120,114","333"
"233","Steppin Out!","995,799","181"
"234","Prada U","967,644","382"
"235","Admit It","948,193","444"
"236","Mr. Inbetweenit","873,742","300"
"237","Goat Emoji","846,680","373"
"238","Brink!","817,632","315"
"239","Guap","814,463","1,002"
"240","Monster","792,777","211"
"241","My Turn (feat. Yeat)","791,834","223"
"242","Riot & Set it off","727,856","261"
"243","Number 1","724,600","166"
"244","MÖB","708,462","57"
"245","Alright","659,337","257"
"246","Big Geek Week","636,335","234"
"247","Twizardry","599,618","0"
"248","Loot (feat. Jban$2Turnt)","589,843","183"
"249","Rockin It","585,557","205"
"250","This Is It","578,842","248"
"251","I Can Tell","553,071","209"
"252","Ley Go - Slowed & Reverb","539,352","172"
"253","Celine","533,504","255"
"254","More","528,724","213"
"255","Mixed Emotions","502,741","193"
"256","Heavenly","496,098","189"
"257","Pit Stop (Interlude)","487,655","159"
"258","Going Out Sad","486,842","165"
"259","G550","486,665","114"
"260","Pilot","486,553","185"
"261","Not The Same","481,576","137"
"262","Convertible (feat. DareDevil)","474,661","183"
"263","Real High","458,515","39"
"264","How I Eat","448,125","158"
"265","Impatient (feat. Oodaredevil)","443,170","163"
"266","Money Move (feat. Nessly)","426,285","156"
"267","Sorry Bout That Feel","392,422","109"
"268","Woke Up Vybin","377,382","830"
"269","All Week","373,612","174"
"270","Hit Sum","371,993","100"
"271","No Joke","371,692","106"
"272","Orion's Belt - Slowed + Reverb Version","369,821","1,017"
"273","STFU","304,527","99"
"274","Give My Last (feat. Yeat)","303,801","101"
"275","Pöpped Out","302,814","130"
"276","Racks (feat. Yeat)","254,030","72"
"277","Do what I want","249,673","71"
"278","BOOTED UP","240,801","91"
"279","Ley Go - Speed Up Version","217,811","63"
"280","Hell Shell 2","181,105","53"
"281","BIG BOSS CEO (feat. Yeat)","180,467","70"
"282","Comë on","172,731","86"
"283","Misguided","169,013","52"
"284","move","162,771","52"
"285","Fashion Week","160,799","52"
"286","Mud","152,146","0"
"287","Vegetarian","147,451","0"
"288","Orion's Belt - Speed Version","121,489","115"
"289","Percasseur","117,696","72"
"290","Already Rich","104,405","95"
"291","GOON","102,996","50"
"292","BEEN AROUND","102,866","41"
"293","Inside Day","102,822","17"
"294","HOW U FEEL? (BANKROLL)","100,223","44"
"295","Ace of spades","94,963","24"
"296","Geeker!","92,863","26"
"297","Urus","90,388","0"
"298","SWITCHE LANES","88,310","136"
"299","Wake Up","84,674","0"
"300","Minding My Bizness","73,390","0"
"301","PradaBalenci","70,123","0"
"302","inside today","61,433","38"
"303","Not Today","60,416","38"
"304","Too in!","60,120","11"
"305","Gas It!","49,960","15"
"306","Get Real Right","46,528","31"
"307","Toö in","36,382","16"
"308","Serving","34,420","8"
"309","Chanelly - Remix","32,655","12"
"310","Fair","30,463","0"
"311","Personalities","24,847","0"
"312","Goonie (ZaZa) [feat. KanKan & Yeat]","23,418","7"
"313","collateral","20,537","21"
"314","Spill","19,862","4"
"315","No Links","16,552","18"
"316","Poppin' Tags","14,933","7"
"317","Bandaid","14,696","6"
"318","Cannonball","13,875","8"
"319","I Swear","13,802","8"
"320","Jumbo Jet","12,585","7"
"321","What it Do","12,481","10"
"322","40","12,195","5"
"323","Tupac","12,190","6"
"324","Ikonik","10,816","7"
"325","Autopilot","10,215","10"
"326","Calm Down","10,137","0"
"327","Outlandish","8,070","0"
"328","Woke Up Vybin - Slowed & Reverb","7,396","12"
"329","Side Bitch Finished","6,253","8"
"330","Rover","3,115","76"
