"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"6","199","2093","If We Being Rëal","256,996,921","496,024","476,680,716"
"1","226","Features","IDGAF (feat. Yeat)","490,180,278","316,951","958,506,358"
"3","157","Lyfë","Out thë way","401,906,849","277,807","745,461,244"
"8","196","2093","Breathe","195,584,389","232,467","362,772,076"
"51","198","2093","ILUV","30,497,940","222,935","56,567,914"
"2","12","Up 2 Më","Monëy so big","424,105,304","160,039","786,635,183"
"5","152","Lyfë","Flawlëss (feat. Lil Uzi Vert)","273,829,457","155,047","507,901,888"
"12","162","Already Rich","Already Rich","161,187,616","153,669","298,972,563"
"4","159","Lyfë","Talk","274,228,980","143,885","508,642,928"
"9","132","2 Alivë","On tha linë","189,918,812","127,482","352,263,501"
"14","177","AftërLyfe","Nun id change","133,702,730","114,267","247,993,294"
"7","37","4L","Sorry Bout That","232,372,638","89,910","431,007,325"
"38","214","2093","Tell më","42,470,279","86,825","78,774,340"
"88","48","LYFESTYLE","GEEK TIMË","14,851,182","85,625","27,546,135"
"10","7","Up 2 Më","Gët Busy","176,001,832","80,447","326,450,134"
"74","189","GEEKED UP","GEEKED UP (FEAT. YEAT)","19,144,039","71,773","37,454,106"
"16","163","My wrist","My wrist (with Young Thug)","99,111,758","67,330","183,833,578"
"114","58","LYFESTYLE","ORCHESTRATË","11,164,398","67,287","20,707,848"
"152","51","LYFESTYLE","GONE 4 A MIN","7,373,949","60,709","13,677,281"
"44","215","2093","U Should Know","35,315,850","57,238","65,504,227"
"11","134","2 Alivë","Poppin","168,630,983","54,798","312,778,602"
"13","19","Up 2 Më","Turban","146,434,698","51,775","271,608,688"
"61","187","King tonka","Heavy stunts (with Don Toliver)","25,593,795","45,708","47,471,652"
"48","207","2093","Psycho CEO","33,602,223","44,733","62,325,772"
"97","190","GO AGAIN","GO AGAIN (feat. Superheaven)","13,948,781","43,104","25,872,352"
"142","43","LYFESTYLE","BË QUIET (FEAT. KODAK BLACK)","8,771,896","42,637","16,270,209"
"163","191","5BRAZY","5BRAZY (FEAT. QUAVO)","5,053,391","39,663","9,373,085"
"17","92","Trëndi","Mad bout that","97,108,953","39,144","180,118,754"
"153","47","LYFESTYLE","FOREVER AGAIN","7,081,023","38,845","13,133,959"
"24","182","AftërLyfe","Split","65,741,835","38,054","121,938,678"
"15","135","2 Alivë","Rackz got më (feat. Gunna)","102,854,358","37,562","190,775,394"
"19","16","Up 2 Më","Swërved It","88,989,052","37,372","165,057,872"
"139","61","LYFESTYLE","STFU","8,877,491","35,985","16,466,067"
"28","164","bigger thën everything","bigger thën everything","56,914,640","33,638","105,565,900"
"20","286","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","84,841,768","32,459","150,046,739"
"27","158","Lyfë","Systëm","60,328,808","32,202","111,898,536"
"25","142","2 Alivë","Big tonka (feat. Lil Uzi Vert)","62,882,929","31,177","116,635,948"
"160","52","LYFESTYLE","HEARD OF MË","5,744,237","30,184","10,654,473"
"55","212","2093","Stand On It (with Future)","28,165,013","29,274","52,240,775"
"22","31","4L","Money Twërk","80,057,775","29,211","148,492,041"
"23","21","Up 2 Më","U could tëll","79,493,437","29,046","147,445,301"
"71","202","2093","Morë","20,197,119","27,630","37,461,838"
"53","173","AftërLyfe","Mysëlf","29,350,958","27,538","54,440,479"
"30","175","AftërLyfe","No morë talk","53,139,697","27,390","98,564,094"
"21","33","4L","Off Tha Lot","83,598,791","27,142","155,059,957"
"18","4","Up 2 Më","Dëserve it","93,233,477","26,322","172,930,478"
"159","63","LYFESTYLE","THEY TELL MË","5,977,161","25,856","11,086,503"
"41","169","AftërLyfe","Bëttr 0ff","37,558,418","24,341","69,663,766"
"166","56","LYFESTYLE","NEW HIGH (FEAT. DON TOLIVER)","4,789,935","24,253","8,884,424"
"169","46","LYFESTYLE","FLYTROOP","4,478,279","23,830","8,306,361"
"164","49","LYFESTYLE","GO2WORK (FEAT. SUMMRS)","5,020,866","23,373","9,312,757"
"33","171","AftërLyfe","How it go","46,769,789","23,326","86,749,119"
"32","246","Features","Yam","49,750,040","23,010","92,276,921"
"26","126","2 Alivë","Jus bëtter","61,610,234","22,780","114,275,339"
"170","54","LYFESTYLE","LYFESTYLE (FEAT. LIL DURK)","4,402,180","22,034","8,165,211"
"79","205","2093","Nothing Changë","17,560,488","21,432","32,571,386"
"167","60","LYFESTYLE","SPEEDBALL","4,636,143","20,372","8,599,169"
"42","156","Lyfë","Krank","37,020,176","20,245","68,665,429"
"184","45","LYFESTYLE","FATË (BONUS)","3,696,061","20,022","6,855,494"
"45","18","Up 2 Më","Trëndy way (feat. SeptembersRich)","34,967,801","19,920","64,858,661"
"83","206","2093","Power Trip","16,081,293","19,364","29,827,759"
"171","62","LYFESTYLE","THE COSTËS","4,256,921","19,133","7,895,783"
"39","20","Up 2 Më","Twizzy Rich","41,131,968","18,940","76,292,026"
"178","57","LYFESTYLE","ON 1","3,940,137","18,820","7,308,209"
"172","64","LYFESTYLE","U DONT KNOW LYFE","4,192,102","18,560","7,775,556"
